strategy,signal_day,signal_timestamp,side,liquidity,requested_qty,reference_price,reason,regime,anchor_price,order_price,day,timestamp,qty,fill_price_gross,fill_price_net,fill_price,visible_depth_used,visible_depth_available,slippage_ticks,book_state_at_fill,best_bid_at_fill,best_ask_at_fill,clean_mid_at_fill,fill_source,forced_flat,profile,inventory_after,cash_gross_after,cash_net_after,edge_ticks,fwd_mid_move_1,fwd_mid_move_5,fwd_mid_move_10,signed_mid_move_1,signed_mid_move_5,signed_mid_move_10
ASH_COATED_OSMIUM_RegimeMM,-2,800,sell,passive,5.0,9999.833333333334,normal_passive_sell,normal,10000.0,10004.0,-2,900,5.0,9998.0,9998.0,9998.0,5.0,8.0,0.0,both_sides,9993.0,9998.0,9995.5,move_through,False,loose,-5.0,49990.0,49990.0,-1.8333333333339397,4.0,5.5,6.5,-4.0,-5.5,-6.5
ASH_COATED_OSMIUM_RegimeMM,-2,2400,sell,passive,5.0,10002.82191780822,normal_passive_sell,normal,10001.0,10007.0,-2,2500,4.5,10011.0,10011.0,10011.0,4.5,14.0,0.0,both_sides,9992.0,10011.0,10001.5,trade_touch,False,loose,-9.5,95039.5,95039.5,8.17808219178005,1.5,0.5,1.0,-1.5,-0.5,-1.0
ASH_COATED_OSMIUM_RegimeMM,-2,7900,buy,passive,5.0,10007.8,normal_passive_buy,normal,10004.0,10003.0,-2,8000,4.5,10006.0,10006.0,10006.0,4.5,6.0,0.0,both_sides,10006.0,10013.0,10009.5,move_through,False,loose,-5.0,50012.5,50012.5,1.7999999999992724,-4.5,-4.5,-3.5,-4.5,-4.5,-3.5
ASH_COATED_OSMIUM_RegimeMM,-2,12800,buy,passive,5.0,10010.75,normal_passive_buy,normal,10008.75,10006.0,-2,12900,5.0,10001.0,10001.0,10001.0,5.0,10.0,0.0,bid_only,10001.0,,10009.0,trade_touch,False,loose,0.0,7.5,7.5,9.75,0.0,-1.0,0.0,0.0,-1.0,0.0
ASH_COATED_OSMIUM_RegimeMM,-2,14900,sell,passive,5.0,10009.48717948718,normal_passive_sell,normal,10009.0,10014.0,-2,15000,0.5,10016.0,10016.0,10016.0,0.5,10.0,0.0,both_sides,10000.0,10016.0,10008.0,trade_touch,False,loose,-0.5,5015.5,5015.5,6.512820512820326,0.0,-1.0,0.0,-0.0,1.0,-0.0
ASH_COATED_OSMIUM_RegimeMM,-2,15000,sell,passive,5.0,10008.687804878049,normal_passive_sell,normal,10009.0,10013.0,-2,15100,1.25,10016.0,10016.0,10016.0,1.25,15.0,0.0,both_sides,10000.0,10016.0,10008.0,trade_touch,False,loose,-1.75,17535.5,17535.5,7.312195121950936,-1.0,-2.0,-2.0,1.0,2.0,2.0
ASH_COATED_OSMIUM_RegimeMM,-2,15800,buy,passive,5.0,10009.2,normal_passive_buy,normal,10009.0,10005.0,-2,15900,2.75,9995.0,9995.0,9995.0,2.75,25.0,0.0,both_sides,9995.0,10014.0,10004.5,trade_touch,False,loose,1.0,-9950.75,-9950.75,14.200000000000728,3.5,0.5,1.0,3.5,0.5,1.0
ASH_COATED_OSMIUM_RegimeMM,-2,17300,sell,passive,5.0,10006.550000000001,normal_passive_sell,normal,10006.75,10011.0,-2,17400,1.5,10014.0,10014.0,10014.0,1.5,10.0,0.0,both_sides,9998.0,10014.0,10006.0,trade_touch,False,loose,-0.5,5070.25,5070.25,7.449999999998909,0.0,0.0,2.5,-0.0,-0.0,-2.5
ASH_COATED_OSMIUM_RegimeMM,-2,23700,sell,passive,5.0,10006.2,normal_passive_sell,normal,10006.0,10011.0,-2,23800,5.0,10003.0,10003.0,10003.0,5.0,7.0,0.0,both_sides,9997.0,10003.0,10000.0,move_through,False,loose,-5.5,55085.25,55085.25,-3.2000000000007276,5.0,5.0,5.0,-5.0,-5.0,-5.0
ASH_COATED_OSMIUM_RegimeMM,-2,23900,sell,passive,5.0,10008.2,normal_passive_sell,normal,10006.0,10013.0,-2,24000,2.5,10013.0,10013.0,10013.0,2.5,14.0,0.0,both_sides,9997.0,10013.0,10005.0,trade_touch,False,loose,-8.0,80117.75,80117.75,4.799999999999272,0.0,-1.0,0.0,-0.0,1.0,-0.0
ASH_COATED_OSMIUM_RegimeMM,-2,24800,buy,passive,5.0,10008.7,normal_passive_buy,normal,10005.5,10004.0,-2,24900,3.0,10006.0,10006.0,10006.0,3.0,4.0,0.0,both_sides,10006.0,10013.0,10009.5,move_through,False,loose,-5.0,50099.75,50099.75,2.7000000000007276,-4.5,-5.5,-4.5,-4.5,-5.5,-4.5
ASH_COATED_OSMIUM_RegimeMM,-2,30600,sell,passive,5.0,10005.0,normal_passive_sell,normal,10003.0,10009.0,-2,30700,3.25,10012.0,10012.0,10012.0,3.25,11.0,0.0,both_sides,9996.0,10012.0,10004.0,trade_touch,False,loose,-8.25,82638.75,82638.75,7.0,-1.0,0.0,-1.0,1.0,-0.0,1.0
ASH_COATED_OSMIUM_RegimeMM,-2,32000,buy,passive,5.0,10006.3,normal_passive_buy,normal,10003.0,10002.0,-2,32100,5.0,10005.0,10005.0,10005.0,5.0,10.0,0.0,both_sides,10005.0,10011.0,10008.0,move_through,False,loose,-3.25,32613.75,32613.75,1.2999999999992724,-4.0,-2.5,-2.5,-4.0,-2.5,-2.5
ASH_COATED_OSMIUM_RegimeMM,-2,32300,buy,passive,5.0,10004.3,normal_passive_buy,normal,10003.0,10000.0,-2,32400,5.0,10005.0,10005.0,10005.0,5.0,10.0,0.0,both_sides,10005.0,10012.0,10008.5,trade_and_move,False,loose,1.75,-17411.25,-17411.25,-0.7000000000007276,-4.5,-4.0,-0.5,-4.5,-4.0,-0.5
ASH_COATED_OSMIUM_RegimeMM,-2,32900,sell,passive,5.0,10002.8,normal_passive_sell,normal,10003.5,10007.0,-2,33000,5.0,10013.0,10013.0,10013.0,5.0,13.0,0.0,both_sides,9997.0,10013.0,10005.0,trade_touch,False,loose,-3.25,32653.75,32653.75,10.200000000000728,0.5,-1.5,-1.0,-0.5,1.5,1.0
ASH_COATED_OSMIUM_RegimeMM,-2,35900,buy,passive,5.0,10005.8,normal_passive_buy,normal,10005.0,10001.0,-2,36000,5.0,10006.0,10006.0,10006.0,5.0,10.0,0.0,both_sides,10006.0,10013.0,10009.5,move_through,False,loose,1.75,-17376.25,-17376.25,-0.2000000000007276,-4.5,-6.0,-5.5,-4.5,-6.0,-5.5
ASH_COATED_OSMIUM_RegimeMM,-2,36500,buy,passive,5.0,10004.633333333333,normal_passive_buy,normal,10005.0,10000.0,-2,36600,2.25,9997.0,9997.0,9997.0,2.25,15.0,0.0,both_sides,9997.0,10015.0,10006.0,trade_touch,False,loose,4.0,-39869.5,-39869.5,7.633333333333212,-2.0,-3.0,-1.0,-2.0,-3.0,-1.0
ASH_COATED_OSMIUM_RegimeMM,-2,36600,sell,passive,5.0,10003.605479452055,normal_passive_sell,normal,10005.0,10008.0,-2,36700,5.0,10012.0,10012.0,10012.0,5.0,14.0,0.0,both_sides,9996.0,10012.0,10004.0,trade_touch,False,loose,-1.0,10190.5,10190.5,8.394520547944921,-1.0,0.0,1.0,1.0,-0.0,-1.0
ASH_COATED_OSMIUM_RegimeMM,-2,40900,sell,passive,5.0,10004.949019607842,normal_passive_sell,normal,10005.0,10009.0,-2,41000,4.5,10002.0,10002.0,10002.0,4.5,6.0,0.0,both_sides,9997.0,10002.0,9999.5,move_through,False,loose,-5.5,55199.5,55199.5,-2.949019607842274,7.5,4.5,1.5,-7.5,-4.5,-1.5
ASH_COATED_OSMIUM_RegimeMM,-2,41000,buy,passive,2.5,10006.875,defensive_passive_buy,defensive,10004.75,9998.0,-2,41100,2.5,10002.0,10002.0,10002.0,2.5,4.0,0.0,both_sides,10002.0,10012.0,10007.0,move_through,False,loose,-3.0,30194.5,30194.5,4.875,-8.0,-3.0,1.5,-8.0,-3.0,1.5
ASH_COATED_OSMIUM_RegimeMM,-2,41900,sell,passive,5.0,10004.682758620691,normal_passive_sell,normal,10004.0,10009.0,-2,42000,5.0,10006.0,10006.0,10006.0,5.0,4.0,0.0,both_sides,9996.0,10006.0,10001.0,trade_and_move,False,loose,-8.0,80224.5,80224.5,1.3172413793090527,7.5,-1.0,2.0,-7.5,1.0,-2.0
ASH_COATED_OSMIUM_RegimeMM,-2,45500,sell,passive,5.0,10005.726315789474,normal_passive_sell,normal,10003.0,10010.0,-2,45600,1.0,10011.0,10011.0,10011.0,1.0,12.0,0.0,both_sides,9995.0,10011.0,10003.0,trade_touch,False,loose,-9.0,90235.5,90235.5,5.273684210525971,0.0,6.5,2.0,-0.0,-6.5,-2.0
ASH_COATED_OSMIUM_RegimeMM,-2,46000,buy,passive,5.0,10006.823880597016,normal_passive_buy,normal,10003.0,10002.0,-2,46100,5.0,10005.0,10005.0,10005.0,5.0,10.0,0.0,both_sides,10005.0,10014.0,10009.5,move_through,False,loose,-4.0,40210.5,40210.5,1.8238805970158865,-4.5,-4.5,-5.5,-4.5,-4.5,-5.5
ASH_COATED_OSMIUM_RegimeMM,-2,47900,sell,passive,5.0,10005.6,normal_passive_sell,normal,10004.0,10010.0,-2,48000,5.0,10014.0,10014.0,10014.0,5.0,13.0,0.0,both_sides,9998.0,10014.0,10006.0,trade_touch,False,loose,-9.0,90280.5,90280.5,8.399999999999636,-1.0,0.0,0.0,1.0,-0.0,-0.0
ASH_COATED_OSMIUM_RegimeMM,-2,50700,sell,passive,5.0,10009.034782608696,normal_passive_sell,normal,10006.0,10014.0,-2,50800,1.75,10015.0,10015.0,10015.0,1.75,13.0,0.0,both_sides,9999.0,10015.0,10007.0,trade_touch,False,loose,-10.75,107806.75,107806.75,5.965217391303668,0.5,0.0,-0.5,-0.5,-0.0,0.5
ASH_COATED_OSMIUM_RegimeMM,-2,51300,sell,passive,5.0,10011.705405405404,normal_passive_sell,normal,10007.0,10016.0,-2,51400,3.0,10018.0,10018.0,10018.0,3.0,20.0,0.0,both_sides,10000.0,10018.0,10009.0,trade_touch,False,loose,-13.75,137860.75,137860.75,6.294594594595765,-1.0,-1.5,-2.0,1.0,1.5,2.0
ASH_COATED_OSMIUM_RegimeMM,-2,52800,buy,passive,5.0,10012.814814814816,normal_passive_buy,normal,10007.5,10008.0,-2,52900,5.0,10009.0,10009.0,10009.0,5.0,9.0,0.0,both_sides,10009.0,10015.0,10012.0,move_through,False,loose,-8.75,87815.75,87815.75,3.8148148148156906,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
ASH_COATED_OSMIUM_RegimeMM,-2,57500,buy,passive,5.0,10009.72033898305,normal_passive_buy,normal,10006.0,10005.0,-2,57600,2.75,9998.0,9998.0,9998.0,2.75,13.0,0.0,both_sides,9998.0,10014.0,10006.0,trade_touch,False,loose,-6.0,60321.25,60321.25,11.72033898305017,0.0,-2.0,-0.5,0.0,-2.0,-0.5
ASH_COATED_OSMIUM_RegimeMM,-2,63400,sell,passive,5.0,10004.622222222222,normal_passive_sell,normal,10002.0,10009.0,-2,63500,3.0,10003.0,10003.0,10003.0,3.0,4.0,0.0,both_sides,9991.0,10003.0,9997.0,move_through,False,loose,-9.0,90330.25,90330.25,-1.6222222222222626,6.5,4.0,5.0,-6.5,-4.0,-5.0
ASH_COATED_OSMIUM_RegimeMM,-2,67200,buy,passive,5.0,10002.089361702128,normal_passive_buy,normal,9998.0,9998.0,-2,67300,5.0,9989.0,9989.0,9989.0,5.0,10.0,0.0,both_sides,9989.0,10005.0,9997.0,trade_touch,False,loose,-4.0,40385.25,40385.25,13.089361702128372,0.0,0.0,-1.0,0.0,0.0,-1.0
ASH_COATED_OSMIUM_RegimeMM,-2,69300,buy,passive,5.0,9999.073684210527,normal_passive_buy,normal,9997.0,9995.0,-2,69400,1.25,9987.0,9987.0,9987.0,1.25,15.0,0.0,both_sides,9987.0,10003.0,9995.0,trade_touch,False,loose,-2.75,27901.5,27901.5,12.073684210527063,0.0,1.0,1.0,0.0,1.0,1.0
ASH_COATED_OSMIUM_RegimeMM,-2,72600,buy,passive,5.0,9998.1,normal_passive_buy,normal,9997.0,9994.0,-2,72700,5.0,10000.0,10000.0,10000.0,5.0,9.0,0.0,both_sides,10000.0,10007.0,10003.5,move_through,False,loose,2.25,-22098.5,-22098.5,-1.8999999999996362,-8.5,-3.0,-5.5,-8.5,-3.0,-5.5
ASH_COATED_OSMIUM_RegimeMM,-2,73300,buy,passive,5.0,9996.523076923077,normal_passive_buy,normal,9998.0,9992.0,-2,73400,5.0,10000.0,10000.0,10000.0,5.0,7.0,0.0,bid_only,10000.0,,9999.0,move_through,False,loose,7.25,-72098.5,-72098.5,-3.4769230769234127,0.5,0.0,0.0,0.5,0.0,0.0
ASH_COATED_OSMIUM_RegimeMM,-2,73800,buy,passive,5.0,9995.1,normal_passive_buy,normal,9998.0,9991.0,-2,73900,3.75,9991.0,9991.0,9991.0,3.75,13.0,0.0,both_sides,9991.0,10007.0,9999.0,trade_touch,False,loose,11.0,-109564.75,-109564.75,4.100000000000364,1.0,0.0,-1.0,1.0,0.0,-1.0
ASH_COATED_OSMIUM_RegimeMM,-2,74400,sell,passive,5.0,9993.2,normal_passive_sell,normal,9998.0,9998.0,-2,74500,5.0,10007.0,10007.0,10007.0,5.0,15.0,0.0,both_sides,9991.0,10007.0,9999.0,trade_touch,False,loose,6.0,-59529.75,-59529.75,13.799999999999272,-4.0,1.5,1.0,4.0,-1.5,-1.0
ASH_COATED_OSMIUM_RegimeMM,-2,75900,sell,passive,5.0,9996.6,normal_passive_sell,normal,9999.0,10001.0,-2,76000,3.25,10008.0,10008.0,10008.0,3.25,15.0,0.0,ask_only,,10008.0,9999.0,trade_touch,False,loose,2.75,-27003.75,-27003.75,11.399999999999636,1.0,0.5,3.0,-1.0,-0.5,-3.0
ASH_COATED_OSMIUM_RegimeMM,-2,76500,buy,passive,5.0,9997.72191780822,normal_passive_buy,normal,9999.0,9993.0,-2,76600,5.0,10003.0,10003.0,10003.0,5.0,8.0,0.0,both_sides,10003.0,10009.0,10006.0,move_through,False,loose,7.75,-77018.75,-77018.75,-5.278082191780413,-5.0,-4.0,-6.0,-5.0,-4.0,-6.0
ASH_COATED_OSMIUM_RegimeMM,-2,77400,buy,passive,5.0,9996.48076923077,normal_passive_buy,normal,9999.75,9992.0,-2,77500,5.0,10003.0,10003.0,10003.0,5.0,9.0,0.0,both_sides,10003.0,10010.0,10006.5,move_through,False,loose,12.75,-127033.75,-127033.75,-6.519230769230489,-6.5,-3.0,-9.5,-6.5,-3.0,-9.5
ASH_COATED_OSMIUM_RegimeMM,-2,78400,sell,passive,5.0,9995.9,normal_passive_sell,normal,10001.0,10000.0,-2,78500,4.5,10000.0,10000.0,10000.0,4.5,6.0,0.0,both_sides,9994.0,10000.0,9997.0,move_through,False,loose,8.25,-82033.75,-82033.75,4.100000000000364,4.0,5.0,3.0,-4.0,-5.0,-3.0
ASH_COATED_OSMIUM_RegimeMM,-2,79500,sell,passive,5.0,9998.7,normal_passive_sell,normal,10002.0,10003.0,-2,79600,3.25,10008.0,10008.0,10008.0,3.25,11.0,0.0,both_sides,9992.0,10008.0,10000.0,trade_touch,False,loose,5.0,-49507.75,-49507.75,9.299999999999272,0.0,0.0,0.0,-0.0,-0.0,-0.0
ASH_COATED_OSMIUM_RegimeMM,-2,79800,buy,passive,5.0,10000.0,normal_passive_buy,normal,10002.0,9996.0,-2,79900,5.0,10001.0,10001.0,10001.0,5.0,8.0,0.0,both_sides,10001.0,10008.0,10004.5,move_through,False,loose,10.0,-99512.75,-99512.75,-1.0,-4.5,-5.5,-5.5,-4.5,-5.5,-5.5
ASH_COATED_OSMIUM_RegimeMM,-2,81100,buy,passive,5.0,9996.65,normal_passive_buy,normal,10000.25,9992.0,-2,81200,3.25,9991.0,9991.0,9991.0,3.25,11.0,0.0,both_sides,9991.0,10007.0,9999.0,trade_touch,False,loose,13.25,-131983.5,-131983.5,5.649999999999636,0.0,1.0,0.0,0.0,1.0,0.0
ASH_COATED_OSMIUM_RegimeMM,-2,86000,sell,passive,5.0,9993.325,normal_passive_sell,normal,9999.0,9998.0,-2,86100,2.25,10007.0,10007.0,10007.0,2.25,15.0,0.0,both_sides,9991.0,10007.0,9999.0,trade_touch,False,loose,11.0,-109467.75,-109467.75,13.674999999999272,1.5,0.0,0.0,-1.5,-0.0,-0.0
ASH_COATED_OSMIUM_RegimeMM,-2,86400,sell,passive,5.0,9994.6,normal_passive_sell,normal,9999.0,9999.0,-2,86500,4.5,9997.0,9997.0,9997.0,4.5,6.0,0.0,both_sides,9991.0,9997.0,9994.0,move_through,False,loose,6.5,-64481.25,-64481.25,2.399999999999636,5.0,5.0,3.5,-5.0,-5.0,-3.5
ASH_COATED_OSMIUM_RegimeMM,-2,86800,buy,passive,5.0,9996.4,normal_passive_buy,normal,9999.0,9992.0,-2,86900,3.75,10001.0,10001.0,10001.0,3.75,5.0,0.0,both_sides,10001.0,10010.0,10005.5,move_through,False,loose,10.25,-101985.0,-101985.0,-4.600000000000364,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5
ASH_COATED_OSMIUM_RegimeMM,-2,91600,sell,passive,5.0,9991.352830188678,normal_passive_sell,normal,9996.0,9996.0,-2,91700,5.0,9992.0,9992.0,9992.0,5.0,9.0,0.0,both_sides,9986.0,9992.0,9989.0,move_through,False,loose,5.25,-52025.0,-52025.0,0.6471698113218736,5.0,6.5,6.0,-5.0,-6.5,-6.0
ASH_COATED_OSMIUM_RegimeMM,-2,93900,sell,passive,5.0,9993.15,normal_passive_sell,normal,9995.25,9998.0,-2,94000,4.75,10004.0,10004.0,10004.0,4.75,13.0,0.0,both_sides,9988.0,10004.0,9996.0,trade_touch,False,loose,0.5,-4506.0,-4506.0,10.850000000000364,0.0,-1.0,0.0,-0.0,1.0,-0.0
ASH_COATED_OSMIUM_RegimeMM,-2,95800,sell,passive,5.0,9996.290196078431,normal_passive_sell,normal,9996.0,10001.0,-2,95900,3.75,9999.0,9999.0,9999.0,3.75,5.0,0.0,both_sides,9989.0,9999.0,9994.0,move_through,False,loose,-3.25,32990.25,32990.25,2.7098039215688914,6.5,3.0,2.0,-6.5,-3.0,-2.0
ASH_COATED_OSMIUM_RegimeMM,-2,96200,sell,passive,5.0,9997.851020408163,normal_passive_sell,normal,9996.0,10002.0,-2,96300,5.0,10006.0,10006.0,10006.0,5.0,10.0,0.0,both_sides,9990.0,10006.0,9998.0,trade_touch,False,loose,-8.25,83020.25,83020.25,8.148979591836905,-1.0,-1.0,-1.0,1.0,1.0,1.0
