BASE_K,MIN_SIGMA,LINEAR_WINDOW,MAX_AGGRESSION,INVENTORY_SKEW,days,total_pnl,mean_daily_pnl,simple_sharpe_mean,max_drawdown,submitted_buy_orders,submitted_sell_orders,submitted_orders,realized_buy_fills,realized_sell_fills,realized_fills,signal_buy_ticks,signal_sell_ticks,signal_neutral_ticks,final_position_sum,max_abs_position,avg_abs_position,fill_rate,score,stage,combo_index,elapsed_seconds
2.0,0.25,10,1,0.25,"-2,-1,0",53130.0,17710.0,0.05556845614283972,270.0,1694,10,1704,12,0,12,27555,93,2352,60,20,17.610833333333332,0.007042253521126761,53022.5,stage1_coarse,101,4.7198251000008895
2.0,0.5,10,1,0.25,"-2,-1,0",53130.0,17710.0,0.05556845614283972,270.0,1668,10,1678,12,0,12,27529,92,2379,60,20,17.610833333333332,0.007151370679380214,53022.5,stage1_coarse,106,4.765144400000281
2.0,0.75,10,1,0.25,"-2,-1,0",53130.0,17710.0,0.05556845614283972,270.0,1567,10,1577,12,0,12,27428,85,2487,60,20,17.610833333333332,0.007609384908053266,53022.5,stage1_coarse,111,5.353693299999577
2.0,1.25,40,1,0.25,"-2,-1,0",52785.0,17595.0,0.05534035964690457,270.0,1424,82,1506,13,1,14,26459,174,3367,60,20,17.468,0.009296148738379814,52677.5,stage1_coarse,124,4.567532299999584
2.0,1.0,10,1,0.25,"-2,-1,0",51850.0,17283.333333333332,0.054904871082280426,270.0,1915,6,1921,12,0,12,26910,78,3012,60,20,17.17833333333333,0.006246746486205101,51742.5,stage1_coarse,116,4.891781599999376
1.4,0.25,10,1,0.25,"-2,-1,0",51150.0,17050.0,0.05431297379583221,270.0,2074,25,2099,13,1,14,26831,248,2921,60,20,16.938666666666666,0.006669842782277275,51042.5,stage1_coarse,51,5.238350999999966
1.4,0.5,10,1,0.25,"-2,-1,0",51150.0,17050.0,0.05431297379583221,270.0,2049,25,2074,13,1,14,26806,223,2971,60,20,16.938666666666666,0.006750241080038573,51042.5,stage1_coarse,56,5.394973299999037
1.4,0.75,10,1,0.25,"-2,-1,0",51150.0,17050.0,0.05431297379583221,270.0,1988,25,2013,13,1,14,26745,188,3067,60,20,16.938666666666666,0.006954793840039742,51042.5,stage1_coarse,61,5.810450599999967
1.7,0.25,10,1,0.25,"-2,-1,0",51150.0,17050.0,0.05431297379583221,270.0,2073,15,2088,13,1,14,26830,173,2997,60,20,16.938666666666666,0.006704980842911878,51042.5,stage1_coarse,76,5.921238300001278
1.7,0.5,10,1,0.25,"-2,-1,0",51150.0,17050.0,0.05431297379583221,270.0,2045,15,2060,13,1,14,26802,163,3035,60,20,16.938666666666666,0.006796116504854369,51042.5,stage1_coarse,81,4.971570699999575
1.7,0.75,10,1,0.25,"-2,-1,0",51150.0,17050.0,0.05431297379583221,270.0,1953,15,1968,13,1,14,26710,149,3141,60,20,16.938666666666666,0.007113821138211382,51042.5,stage1_coarse,86,5.255377499999668
2.0,1.0,20,1,0.25,"-2,-1,0",50420.0,16806.666666666668,0.05393756322370652,270.0,1657,13,1670,14,2,16,25928,134,3938,60,20,16.666666666666668,0.009580838323353293,50312.5,stage1_coarse,117,5.137157000001025
2.0,1.25,60,1,0.25,"-2,-1,0",50260.0,16753.333333333332,0.05397264979971766,270.0,2037,135,2172,18,6,24,25418,292,4290,60,20,16.556166666666666,0.011049723756906077,50152.5,stage1_coarse,125,4.81420049999906
2.0,1.25,10,1,0.25,"-2,-1,0",49795.0,16598.333333333332,0.05356716649729739,270.0,1963,4,1967,12,0,12,25852,75,4073,60,20,16.493,0.006100660904931368,49687.5,stage1_coarse,121,4.3424379999996745
1.7,1.25,10,1,0.25,"-2,-1,0",49780.0,16593.333333333332,0.0536468120614654,270.0,1883,7,1890,13,1,14,25904,112,3984,60,20,16.476333333333333,0.007407407407407408,49672.5,stage1_coarse,96,5.047914200000378
1.4,1.25,10,1,0.25,"-2,-1,0",49755.0,16585.0,0.053621045340683356,270.0,1898,17,1915,13,1,14,25919,163,3918,60,20,16.468500000000002,0.007310704960835509,49647.5,stage1_coarse,71,5.409924400000818
1.7,1.0,10,1,0.25,"-2,-1,0",49755.0,16585.0,0.053621045340683356,270.0,2030,11,2041,13,1,14,26053,144,3803,60,20,16.468500000000002,0.006859382655560999,49647.5,stage1_coarse,91,4.9280165000000125
1.7,0.25,40,1,0.25,"-2,-1,0",49445.0,16481.666666666668,0.05345937020826921,270.0,2360,116,2476,15,3,18,25500,341,4159,60,20,16.32766666666667,0.007269789983844911,49337.5,stage1_coarse,79,6.7598847999997815
1.7,0.5,40,1,0.25,"-2,-1,0",49445.0,16481.666666666668,0.05345937020826921,270.0,2332,116,2448,15,3,18,25472,340,4188,60,20,16.32766666666667,0.007352941176470588,49337.5,stage1_coarse,84,6.37639769999987
1.7,0.75,40,1,0.25,"-2,-1,0",49445.0,16481.666666666668,0.05345937020826921,270.0,2257,116,2373,15,3,18,25397,335,4268,60,20,16.32766666666667,0.007585335018963337,49337.5,stage1_coarse,89,6.991161500000089
2.0,0.25,40,1,0.25,"-2,-1,0",49445.0,16481.666666666668,0.05345937020826921,270.0,2315,101,2416,15,3,18,25455,273,4272,60,20,16.32766666666667,0.0074503311258278145,49337.5,stage1_coarse,104,6.649920199999542
2.0,0.5,40,1,0.25,"-2,-1,0",49445.0,16481.666666666668,0.05345937020826921,270.0,2281,101,2382,15,3,18,25421,273,4306,60,20,16.32766666666667,0.007556675062972292,49337.5,stage1_coarse,109,6.3211831000007805
2.0,0.75,40,1,0.25,"-2,-1,0",49445.0,16481.666666666668,0.05345937020826921,270.0,2228,101,2329,15,3,18,25368,266,4366,60,20,16.32766666666667,0.007728638900815801,49337.5,stage1_coarse,114,6.407416899999589
1.7,1.25,40,1,0.25,"-2,-1,0",49390.0,16463.333333333332,0.05339215957303606,270.0,1956,120,2076,14,2,16,25204,306,4490,60,20,16.325166666666664,0.007707129094412331,49282.5,stage1_coarse,99,6.575436600000103
2.0,0.25,60,1,0.25,"-2,-1,0",49295.0,16431.666666666668,0.053508342623463,270.0,2787,138,2925,20,8,28,25458,331,4211,60,20,16.199166666666667,0.009572649572649573,49187.5,stage1_coarse,105,7.0337085999999545
2.0,0.5,60,1,0.25,"-2,-1,0",49295.0,16431.666666666668,0.053508342623463,270.0,2764,138,2902,20,8,28,25435,331,4234,60,20,16.199166666666667,0.009648518263266712,49187.5,stage1_coarse,110,7.203464599999279
2.0,0.75,60,1,0.25,"-2,-1,0",49295.0,16431.666666666668,0.053508342623463,270.0,2673,138,2811,20,8,28,25344,329,4327,60,20,16.199166666666667,0.009960868018498754,49187.5,stage1_coarse,115,6.530370099999345
2.0,1.0,60,1,0.25,"-2,-1,0",49295.0,16431.666666666668,0.053508342623463,270.0,2592,138,2730,20,8,28,25263,315,4422,60,20,16.199166666666667,0.010256410256410256,49187.5,stage1_coarse,120,5.659071100000801
2.0,1.0,40,1,0.25,"-2,-1,0",49185.0,16395.0,0.05333432397061349,270.0,2301,109,2410,15,3,18,25272,263,4465,60,20,16.241,0.007468879668049793,49077.5,stage1_coarse,119,5.382190399999672
1.7,0.25,20,1,0.25,"-2,-1,0",48560.0,16186.666666666666,0.05273810410506699,270.0,2155,49,2204,15,3,18,25411,263,4326,60,20,16.035,0.008166969147005444,48452.5,stage1_coarse,77,6.208160500000304
2.0,0.25,20,1,0.25,"-2,-1,0",48560.0,16186.666666666666,0.05273810410506699,270.0,2124,28,2152,15,3,18,25380,201,4419,60,20,16.035,0.008364312267657992,48452.5,stage1_coarse,102,5.543627099999867
1.1,0.25,10,1,0.25,"-2,-1,0",48490.0,16163.333333333334,0.05323779207286337,270.0,3162,46,3208,21,9,30,26105,586,3309,60,20,15.934333333333333,0.009351620947630923,48382.5,stage1_coarse,26,5.783030600001439
1.1,0.5,10,1,0.25,"-2,-1,0",48490.0,16163.333333333334,0.05323779207286337,270.0,3136,46,3182,21,9,30,26079,534,3387,60,20,15.934333333333333,0.009428032683846637,48382.5,stage1_coarse,31,6.730241600000227
1.1,0.75,10,1,0.25,"-2,-1,0",48490.0,16163.333333333334,0.05323779207286337,270.0,3056,46,3102,21,9,30,25999,426,3575,60,20,15.934333333333333,0.009671179883945842,48382.5,stage1_coarse,36,5.720882300000085
0.8,0.5,10,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05316400334932727,270.0,3060,49,3109,21,9,30,26003,784,3213,60,20,15.906833333333333,0.00964940495336121,48302.5,stage1_coarse,6,4.662815400000909
0.8,0.25,10,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05316400334932727,270.0,3087,49,3136,21,9,30,26030,852,3118,60,20,15.906833333333333,0.009566326530612245,48302.5,stage1_coarse,1,5.404953299999761
0.8,0.75,10,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05316400334932727,270.0,2980,49,3029,21,9,30,25923,644,3433,60,20,15.906833333333333,0.009904258831297457,48302.5,stage1_coarse,11,5.378640500000984
1.7,0.5,20,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05264522868234981,270.0,2074,29,2103,15,3,18,25291,249,4460,60,20,15.984833333333334,0.008559201141226819,48302.5,stage1_coarse,82,5.05124749999959
1.7,0.75,20,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05264522868234981,270.0,2012,29,2041,15,3,18,25229,241,4530,60,20,15.984833333333334,0.008819206271435572,48302.5,stage1_coarse,87,5.561069799998222
1.7,1.0,20,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05264522868234981,270.0,1951,29,1980,15,3,18,25168,223,4609,60,20,15.984833333333334,0.00909090909090909,48302.5,stage1_coarse,92,5.20603409999967
2.0,0.5,20,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05264522868234981,270.0,2043,14,2057,15,3,18,25260,192,4548,60,20,15.984833333333334,0.008750607681088965,48302.5,stage1_coarse,107,5.534562199998618
2.0,0.75,20,1,0.25,"-2,-1,0",48410.0,16136.666666666666,0.05264522868234981,270.0,1970,14,1984,15,3,18,25187,180,4633,60,20,15.984833333333334,0.009072580645161291,48302.5,stage1_coarse,112,5.786803000000873
2.0,1.25,20,1,0.25,"-2,-1,0",48390.0,16130.0,0.05261815646316361,270.0,1738,12,1750,14,2,16,24942,141,4917,60,20,15.988500000000002,0.009142857142857144,48282.5,stage1_coarse,122,4.199004800000694
1.4,1.25,20,1,0.25,"-2,-1,0",48360.0,16120.0,0.05258649874613099,270.0,1794,37,1831,14,2,16,24998,250,4752,60,20,15.980500000000001,0.008738394320043691,48252.5,stage1_coarse,72,6.013235299998996
1.7,1.25,20,1,0.25,"-2,-1,0",48360.0,16120.0,0.05258649874613099,270.0,1744,28,1772,14,2,16,24948,197,4855,60,20,15.980500000000001,0.009029345372460496,48252.5,stage1_coarse,97,5.580158900000242
1.1,1.25,10,1,0.25,"-2,-1,0",47775.0,15925.0,0.05236556299367586,270.0,2188,26,2214,14,2,16,25105,278,4617,60,20,15.796333333333331,0.007226738934056007,47667.5,stage1_coarse,46,5.201401899999837
1.4,1.0,10,1,0.25,"-2,-1,0",47775.0,15925.0,0.05236556299367586,270.0,2368,18,2386,14,2,16,25287,234,4479,60,20,15.796333333333331,0.006705783738474434,47667.5,stage1_coarse,66,5.794729500001267
1.7,1.0,40,1,0.25,"-2,-1,0",46645.0,15548.333333333334,0.05205927226337331,270.0,3007,130,3137,22,10,32,24407,434,5159,60,20,15.2965,0.010200828817341408,46537.5,stage1_coarse,94,6.20221599999968
1.7,1.25,60,1,0.25,"-2,-1,0",45490.0,15163.333333333334,0.05203996154918621,270.0,3745,192,3937,29,17,46,23981,523,5496,60,20,14.788833333333331,0.011684023368046735,45382.5,stage1_coarse,100,7.190805700000055
1.7,0.25,60,1,0.25,"-2,-1,0",45455.0,15151.666666666666,0.052080527684264806,270.0,4100,205,4305,30,18,48,24336,718,4946,60,20,14.762833333333333,0.011149825783972125,45347.5,stage1_coarse,80,7.681841700001314
1.7,0.5,60,1,0.25,"-2,-1,0",45455.0,15151.666666666666,0.052080527684264806,270.0,4081,205,4286,30,18,48,24317,718,4965,60,20,14.762833333333333,0.011199253383107793,45347.5,stage1_coarse,85,6.784802000000127
1.7,0.75,60,1,0.25,"-2,-1,0",45455.0,15151.666666666666,0.052080527684264806,270.0,3980,204,4184,30,18,48,24216,685,5099,60,20,14.762833333333333,0.011472275334608031,45347.5,stage1_coarse,90,7.2860989999990124
1.7,1.0,60,1,0.25,"-2,-1,0",45455.0,15151.666666666666,0.052080527684264806,270.0,3884,199,4083,30,18,48,24120,545,5335,60,20,14.762833333333333,0.011756061719324026,45347.5,stage1_coarse,95,7.19651039999917
1.1,1.0,10,1,0.25,"-2,-1,0",45115.0,15038.333333333334,0.05129038127070701,270.0,3433,37,3470,22,10,32,24538,426,5036,60,20,14.792000000000002,0.009221902017291067,45007.5,stage1_coarse,41,5.237388899999132
2.0,0.25,30,1,0.25,"-2,-1,0",44910.0,14970.0,0.0507459288431955,270.0,2769,48,2817,16,4,20,23816,298,5886,60,20,14.799333333333331,0.007099751508697196,44802.5,stage1_coarse,103,5.594716600000538
2.0,0.5,30,1,0.25,"-2,-1,0",44910.0,14970.0,0.0507459288431955,270.0,2717,48,2765,16,4,20,23764,298,5938,60,20,14.799333333333331,0.007233273056057866,44802.5,stage1_coarse,108,6.5248934000010195
2.0,0.75,30,1,0.25,"-2,-1,0",44870.0,14956.666666666666,0.05069396833567464,270.0,2660,47,2707,15,3,18,23707,288,6005,60,20,14.798666666666668,0.0066494274104174364,44762.5,stage1_coarse,113,6.156594199999745
0.8,1.25,60,1,0.25,"-2,-1,0",43760.0,14586.666666666666,0.05110981648974181,270.0,4219,233,4452,33,21,54,23403,1115,5482,60,20,14.158833333333334,0.012129380053908356,43652.5,stage1_coarse,25,9.205230000001393
1.1,1.25,60,1,0.25,"-2,-1,0",43760.0,14586.666666666666,0.05110981648974181,270.0,4203,230,4433,33,21,54,23387,953,5660,60,20,14.158833333333334,0.012181367020076697,43652.5,stage1_coarse,50,7.79055690000132
1.4,1.25,60,1,0.25,"-2,-1,0",43760.0,14586.666666666666,0.05110981648974181,270.0,4174,214,4388,33,21,54,23358,791,5851,60,20,14.158833333333334,0.012306289881494986,43652.5,stage1_coarse,75,7.871791199999279
0.8,1.0,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4364,241,4605,34,22,56,23546,1193,5261,60,20,14.132833333333332,0.01216069489685125,43617.5,stage1_coarse,20,8.562466999999742
1.1,0.25,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4539,242,4781,34,22,56,23721,1195,5084,60,20,14.132833333333332,0.01171303074670571,43617.5,stage1_coarse,30,8.673952799999824
1.1,0.5,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4526,242,4768,34,22,56,23708,1187,5105,60,20,14.132833333333332,0.01174496644295302,43617.5,stage1_coarse,35,7.490629399999307
1.1,0.75,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4457,241,4698,34,22,56,23639,1109,5252,60,20,14.132833333333332,0.011919965942954448,43617.5,stage1_coarse,40,8.057756899999731
