BASE_K,MIN_SIGMA,LINEAR_WINDOW,MAX_AGGRESSION,INVENTORY_SKEW,days,total_pnl,mean_daily_pnl,simple_sharpe_mean,max_drawdown,submitted_buy_orders,submitted_sell_orders,submitted_orders,realized_buy_fills,realized_sell_fills,realized_fills,signal_buy_ticks,signal_sell_ticks,signal_neutral_ticks,final_position_sum,max_abs_position,avg_abs_position,fill_rate,score,stage,combo_index,elapsed_seconds
2.0,0.25,10,3,0.4,"-2,-1,0",59600.0,19866.666666666668,0.05885986449503843,270.0,291,1,292,12,0,12,29816,5,179,60,20,19.8015,0.0410958904109589,59492.5,stage2_targeted,19,4.795229899998958
2.0,0.25,10,3,0.6,"-2,-1,0",59600.0,19866.666666666668,0.05885986449503843,270.0,296,0,296,12,0,12,29827,4,169,60,20,19.8015,0.04054054054054054,59492.5,stage2_targeted,20,4.640016299999843
2.0,0.25,10,3,0.25,"-2,-1,0",59535.0,19845.0,0.058825718657781974,270.0,277,1,278,12,0,12,29755,5,240,60,20,19.779666666666667,0.04316546762589928,59427.5,stage2_targeted,18,4.770212999999785
2.0,0.5,10,3,0.4,"-2,-1,0",59340.0,19780.0,0.05868384283653696,270.0,402,1,403,12,0,12,29748,6,246,60,20,19.7135,0.02977667493796526,59232.5,stage2_targeted,39,4.849672499998633
2.0,0.5,10,3,0.6,"-2,-1,0",59340.0,19780.0,0.05868384283653696,270.0,409,0,409,12,0,12,29761,5,234,60,20,19.7135,0.029339853300733496,59232.5,stage2_targeted,40,5.324834099999862
2.0,0.5,10,3,0.25,"-2,-1,0",59275.0,19758.333333333332,0.05864969699928049,270.0,383,1,384,12,0,12,29682,6,312,60,20,19.691666666666666,0.03125,59167.5,stage2_targeted,38,5.429888000000574
2.0,0.25,10,2,0.4,"-2,-1,0",59070.0,19690.0,0.05863314099266901,270.0,327,1,328,12,0,12,29580,16,404,60,20,19.614,0.036585365853658534,58962.5,stage2_targeted,14,5.057546800000637
2.0,0.25,10,2,0.6,"-2,-1,0",59070.0,19690.0,0.05863314099266901,270.0,330,0,330,12,0,12,29589,15,396,60,20,19.614,0.03636363636363636,58962.5,stage2_targeted,15,6.423610299998472
2.0,0.75,10,3,0.25,"-2,-1,0",58990.0,19663.333333333332,0.05847176733968401,270.0,300,3,303,12,0,12,29491,11,498,60,20,19.599333333333334,0.039603960396039604,58882.5,stage2_targeted,58,5.233915099999649
2.0,0.25,10,2,0.25,"-2,-1,0",58980.0,19660.0,0.05860697534051052,270.0,311,1,312,12,0,12,29517,16,467,60,20,19.585333333333335,0.038461538461538464,58872.5,stage2_targeted,13,7.5376727999992
2.0,0.75,10,3,0.4,"-2,-1,0",58950.0,19650.0,0.05842688453514275,270.0,311,1,312,12,0,12,29565,9,426,60,20,19.602333333333334,0.038461538461538464,58842.5,stage2_targeted,59,4.724940899999638
2.0,0.75,10,3,0.6,"-2,-1,0",58950.0,19650.0,0.05842688453514275,270.0,318,0,318,12,0,12,29578,8,414,60,20,19.602333333333334,0.03773584905660377,58842.5,stage2_targeted,60,5.129873200001384
2.0,1.25,40,3,0.4,"-2,-1,0",58930.0,19643.333333333332,0.05843054586681606,270.0,292,4,296,12,0,12,29413,12,575,60,20,19.578500000000002,0.04054054054054054,58822.5,stage2_targeted,79,6.225739800000156
2.0,1.25,40,3,0.6,"-2,-1,0",58890.0,19630.0,0.058385663062274794,270.0,308,1,309,12,0,12,29537,9,454,60,20,19.581500000000002,0.038834951456310676,58782.5,stage2_targeted,80,6.2987463999998
2.0,1.25,40,3,0.25,"-2,-1,0",58875.0,19625.0,0.0586367408658911,270.0,591,75,666,27,15,42,28769,84,1147,60,20,19.456666666666667,0.06306306306306306,58767.5,stage2_targeted,78,6.6835348999993585
2.0,0.5,10,2,0.4,"-2,-1,0",58810.0,19603.333333333332,0.05845694825954228,270.0,438,1,439,12,0,12,29512,17,471,60,20,19.526,0.02733485193621868,58702.5,stage2_targeted,34,5.056256699999722
2.0,0.5,10,2,0.6,"-2,-1,0",58810.0,19603.333333333332,0.05845694825954228,270.0,443,0,443,12,0,12,29523,16,461,60,20,19.526,0.02708803611738149,58702.5,stage2_targeted,35,5.042379299999084
2.0,0.5,10,2,0.25,"-2,-1,0",58720.0,19573.333333333332,0.05843078260738379,270.0,417,1,418,12,0,12,29444,17,539,60,20,19.497333333333334,0.028708133971291867,58612.5,stage2_targeted,33,5.102358699999968
2.0,1.0,10,3,0.6,"-2,-1,0",58695.0,19565.0,0.05825074110464506,270.0,297,0,297,12,0,12,29449,6,545,60,20,19.514833333333332,0.04040404040404041,58587.5,stage2_targeted,100,3.840612500000134
2.0,1.0,10,3,0.4,"-2,-1,0",58695.0,19565.0,0.05825074110464506,270.0,286,1,287,12,0,12,29432,7,561,60,20,19.514833333333332,0.041811846689895474,58587.5,stage2_targeted,99,3.95319550000022
2.0,0.25,10,3,0.1,"-2,-1,0",58670.0,19556.666666666668,0.0602480539500961,260.0,2311,130,2441,78,66,144,27550,146,2304,60,20,18.799333333333333,0.058992216304793114,58565.0,stage2_targeted,17,4.89615589999994
2.0,1.0,10,3,0.25,"-2,-1,0",58670.0,19556.666666666668,0.058261513961322224,270.0,334,3,337,12,0,12,29345,9,646,60,20,19.48783333333333,0.03560830860534125,58562.5,stage2_targeted,98,3.939541100000497
2.0,0.75,10,2,0.4,"-2,-1,0",58525.0,19508.333333333332,0.05828787150209918,270.0,331,1,332,12,0,12,29340,19,641,60,20,19.430333333333333,0.03614457831325301,58417.5,stage2_targeted,54,4.538145400001667
2.0,0.75,10,2,0.6,"-2,-1,0",58525.0,19508.333333333332,0.05828787150209918,270.0,337,0,337,12,0,12,29352,18,630,60,20,19.430333333333333,0.03560830860534125,58417.5,stage2_targeted,55,5.686048700001265
